Home,Away,MatchID,Href,Stadium
Australia,Pakistan,T20I # 256,http://www.espncricinfo.com/ci/engine/match/571148.html,Dubai (DSC)
Australia,Pakistan,T20I # 257,http://www.espncricinfo.com/ci/engine/match/571149.html,Dubai (DSC)
England,South Africa,T20I # 258,http://www.espncricinfo.com/ci/engine/match/534233.html,Chester-le-Street
Australia,Pakistan,T20I # 259,http://www.espncricinfo.com/ci/engine/match/571150.html,Dubai (DSC)
England,South Africa,T20I # 260,http://www.espncricinfo.com/ci/engine/match/534234.html,Manchester
India,New Zealand,T20I # 261,http://www.espncricinfo.com/ci/engine/match/565820.html,Chennai
England,South Africa,T20I # 262,http://www.espncricinfo.com/ci/engine/match/534235.html,Birmingham
Sri Lanka,South Africa,T20I # 269,http://www.espncricinfo.com/ci/engine/match/533278.html,Hambantota
Australia,West Indies,T20I # 270,http://www.espncricinfo.com/ci/engine/match/533279.html,Colombo (RPS)
New Zealand,Pakistan,T20I # 271,http://www.espncricinfo.com/ci/engine/match/533280.html,Pallekele
England,India,T20I # 272,http://www.espncricinfo.com/ci/engine/match/533281.html,Colombo (RPS)
Sri Lanka,New Zealand,T20I # 275,http://www.espncricinfo.com/ci/engine/match/533284.html,Pallekele
England,West Indies,T20I # 276,http://www.espncricinfo.com/ci/engine/match/533285.html,Pallekele
Pakistan,South Africa,T20I # 277,http://www.espncricinfo.com/ci/engine/match/533286.html,Colombo (RPS)
Australia,India,T20I # 278,http://www.espncricinfo.com/ci/engine/match/533287.html,Colombo (RPS)
England,New Zealand,T20I # 279,http://www.espncricinfo.com/ci/engine/match/533288.html,Pallekele
Sri Lanka,West Indies,T20I # 280,http://www.espncricinfo.com/ci/engine/match/533289.html,Pallekele
Australia,South Africa,T20I # 281,http://www.espncricinfo.com/ci/engine/match/533290.html,Colombo (RPS)
India,Pakistan,T20I # 282,http://www.espncricinfo.com/ci/engine/match/533291.html,Colombo (RPS)
New Zealand,West Indies,T20I # 283,http://www.espncricinfo.com/ci/engine/match/533292.html,Pallekele
Sri Lanka,England,T20I # 284,http://www.espncricinfo.com/ci/engine/match/533293.html,Pallekele
Australia,Pakistan,T20I # 285,http://www.espncricinfo.com/ci/engine/match/533294.html,Colombo (RPS)
India,South Africa,T20I # 286,http://www.espncricinfo.com/ci/engine/match/533295.html,Colombo (RPS)
Sri Lanka,Pakistan,T20I # 287,http://www.espncricinfo.com/ci/engine/match/533296.html,Colombo (RPS)
Australia,West Indies,T20I # 288,http://www.espncricinfo.com/ci/engine/match/533297.html,Colombo (RPS)
Sri Lanka,West Indies,T20I # 289,http://www.espncricinfo.com/ci/engine/match/533298.html,Colombo (RPS)
Sri Lanka,New Zealand,T20I # 290,http://www.espncricinfo.com/ci/engine/match/582186.html,Pallekele
India,England,T20I # 292,http://www.espncricinfo.com/ci/engine/match/565810.html,Pune
South Africa,New Zealand,T20I # 293,http://www.espncricinfo.com/ci/engine/match/567353.html,Durban
India,England,T20I # 294,http://www.espncricinfo.com/ci/engine/match/565811.html,Mumbai
South Africa,New Zealand,T20I # 295,http://www.espncricinfo.com/ci/engine/match/567354.html,East London
India,Pakistan,T20I # 296,http://www.espncricinfo.com/ci/engine/match/589306.html,Bangalore
South Africa,New Zealand,T20I # 297,http://www.espncricinfo.com/ci/engine/match/567355.html,Port Elizabeth
India,Pakistan,T20I # 298,http://www.espncricinfo.com/ci/engine/match/589307.html,Ahmedabad
