MatchID,Home,Away,Stadium,D/N,Href
41,Sunrisers Hyderabad,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980983.html
42,Mumbai Indians,Kings XI Punjab,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980985.html
43,Royal Challengers Bangalore,Gujarat Lions,"M Chinnaswamy Stadium, Bangalore",D/N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980987.html
44,Kolkata Knight Riders,Rising Pune Supergiants,"Eden Gardens, Kolkata",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980989.html
45,Kings XI Punjab,Sunrisers Hyderabad,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",D/N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980991.html
46,Mumbai Indians,Delhi Daredevils,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980993.html
47,Kolkata Knight Riders,Royal Challengers Bangalore,"Eden Gardens, Kolkata",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980995.html
48,Rising Pune Supergiants,Delhi Daredevils,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980997.html
49,Royal Challengers Bangalore,Kings XI Punjab,"M Chinnaswamy Stadium, Bangalore",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980999.html
50,Gujarat Lions,Kolkata Knight Riders,"Green Park, Kanpur",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/981001.html
51,Delhi Daredevils,Sunrisers Hyderabad,"Shaheed Veer Narayan Singh International Stadium, Raipur",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/981003.html
52,Rising Pune Supergiants,Kings XI Punjab,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",D/N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/981005.html
53,Gujarat Lions,Mumbai Indians,"Green Park, Kanpur",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/981007.html
54,Kolkata Knight Riders,Sunrisers Hyderabad,"Eden Gardens, Kolkata",D/N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/981009.html
55,Delhi Daredevils,Royal Challengers Bangalore,"Shaheed Veer Narayan Singh International Stadium, Raipur",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/981011.html
56,Gujarat Lions,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bangalore",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/981013.html
57,Sunrisers Hyderabad,Kolkata Knight Riders,"Feroz Shah Kotla, Delhi",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/981015.html
58,Gujarat Lions,Sunrisers Hyderabad,"Feroz Shah Kotla, Delhi",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/981017.html
59,Royal Challengers Bangalore,Sunrisers Hyderabad,"M Chinnaswamy Stadium, Bangalore",N,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/981019.html
