MatchID,Home,Away,Stadium,D/N,Href
0,Kolkata Knight Riders,Mumbai Indians,"Eden Gardens, Kolkata",N,http://www.espncricinfo.com/indian-premier-league-2015/engine/match/829705.html
1,Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk, Chennai",N,http://www.espncricinfo.com/indian-premier-league-2015/engine/match/829707.html
2,Kings XI Punjab,Rajasthan Royals,"Maharashtra Cricket Association Stadium, Pune",N,http://www.espncricinfo.com/indian-premier-league-2015/engine/match/829709.html
3,Chennai Super Kings,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk, Chennai",D/N,http://www.espncricinfo.com/indian-premier-league-2015/engine/match/829711.html
4,Kolkata Knight Riders,Royal Challengers Bangalore,"Eden Gardens, Kolkata",N,http://www.espncricinfo.com/indian-premier-league-2015/engine/match/829713.html
5,Delhi Daredevils,Rajasthan Royals,"Feroz Shah Kotla, Delhi",D/N,http://www.espncricinfo.com/indian-premier-league-2015/engine/match/829715.html
6,Mumbai Indians,Kings XI Punjab,"Wankhede Stadium, Mumbai",N,http://www.espncricinfo.com/indian-premier-league-2015/engine/match/829717.html
7,Royal Challengers Bangalore,Sunrisers Hyderabad,"M Chinnaswamy Stadium, Bangalore",N,http://www.espncricinfo.com/indian-premier-league-2015/engine/match/829719.html
8,Rajasthan Royals,Mumbai Indians,"Sardar Patel Stadium, Motera, Ahmedabad",N,http://www.espncricinfo.com/indian-premier-league-2015/engine/match/829721.html
9,Kings XI Punjab,Delhi Daredevils,"Maharashtra Cricket Association Stadium, Pune",N,http://www.espncricinfo.com/indian-premier-league-2015/engine/match/829725.html
10,Sunrisers Hyderabad,Rajasthan Royals,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",N,http://www.espncricinfo.com/indian-premier-league-2015/engine/match/829727.html
11,Mumbai Indians,Chennai Super Kings,"Wankhede Stadium, Mumbai",N,http://www.espncricinfo.com/indian-premier-league-2015/engine/match/829729.html
12,Sunrisers Hyderabad,Delhi Daredevils,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",D/N,http://www.espncricinfo.com/indian-premier-league-2015/engine/match/829731.html
13,Kings XI Punjab,Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune",N,http://www.espncricinfo.com/indian-premier-league-2015/engine/match/829733.html
14,Rajasthan Royals,Chennai Super Kings,"Sardar Patel Stadium, Motera, Ahmedabad",D/N,http://www.espncricinfo.com/indian-premier-league-2015/engine/match/829735.html
15,Royal Challengers Bangalore,Mumbai Indians,"M Chinnaswamy Stadium, Bangalore",N,http://www.espncricinfo.com/indian-premier-league-2015/engine/match/829737.html
16,Delhi Daredevils,Kolkata Knight Riders,"Feroz Shah Kotla, Delhi",N,http://www.espncricinfo.com/indian-premier-league-2015/engine/match/829739.html
17,Rajasthan Royals,Kings XI Punjab,"Sardar Patel Stadium, Motera, Ahmedabad",N,http://www.espncricinfo.com/indian-premier-league-2015/engine/match/829741.html
18,Sunrisers Hyderabad,Kolkata Knight Riders,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",D/N,http://www.espncricinfo.com/indian-premier-league-2015/engine/match/829743.html
19,Royal Challengers Bangalore,Chennai Super Kings,"M Chinnaswamy Stadium, Bangalore",N,http://www.espncricinfo.com/indian-premier-league-2015/engine/match/829745.html
20,Delhi Daredevils,Mumbai Indians,"Feroz Shah Kotla, Delhi",N,http://www.espncricinfo.com/indian-premier-league-2015/engine/match/829747.html
21,Rajasthan Royals,Royal Challengers Bangalore,"Sardar Patel Stadium, Motera, Ahmedabad",N,http://www.espncricinfo.com/indian-premier-league-2015/engine/match/829749.html
22,Mumbai Indians,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",D/N,http://www.espncricinfo.com/indian-premier-league-2015/engine/match/829751.html
23,Chennai Super Kings,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk, Chennai",N,http://www.espncricinfo.com/indian-premier-league-2015/engine/match/829753.html
24,Kolkata Knight Riders,Rajasthan Royals,"Eden Gardens, Kolkata",D/N,http://www.espncricinfo.com/indian-premier-league-2015/engine/match/829755.html
25,Delhi Daredevils,Royal Challengers Bangalore,"Feroz Shah Kotla, Delhi",N,http://www.espncricinfo.com/indian-premier-league-2015/engine/match/829757.html
26,Kings XI Punjab,Sunrisers Hyderabad,"Punjab Cricket Association Stadium, Mohali, Chandigarh",N,http://www.espncricinfo.com/indian-premier-league-2015/engine/match/829759.html
27,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai",N,http://www.espncricinfo.com/indian-premier-league-2015/engine/match/829765.html
28,Royal Challengers Bangalore,Rajasthan Royals,"M Chinnaswamy Stadium, Bangalore",N,http://www.espncricinfo.com/indian-premier-league-2015/engine/match/829763.html
29,Kolkata Knight Riders,Chennai Super Kings,"Eden Gardens, Kolkata",N,http://www.espncricinfo.com/indian-premier-league-2015/engine/match/829723.html
30,Delhi Daredevils,Kings XI Punjab,"Feroz Shah Kotla, Delhi",D/N,http://www.espncricinfo.com/indian-premier-league-2015/engine/match/829767.html
